,name,text,label,video_path,audio_path,abusive,duration,source,source_link,date_of_collection
11,non-abusive (12),আমাদের ফুসফুস যে এরিয়াতে এই এরিয়ার নাম হচ্ছে থোরাসিক ক্যাভিটি। আর পাকস্থলি যেই এরিয়াতে এইটার নাম হচ্ছে অ্যাবডোমিনাল ক্যাভিটি ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (12).mp4,/kaggle/input/abusiveaud/audio/non-abusive (12).npy,"[1.0, 0.0]",7.33,Facebook,https://web.facebook.com/watch/?v=844946130151603,04/25/2024
12,non-abusive (13),এইযে দুই ক্যাভিটি মানে দূই গর্ত এর মাঝে এর মাঝ,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (13).mp4,/kaggle/input/abusiveaud/audio/non-abusive (13).npy,"[1.0, 0.0]",2.63,Facebook,https://web.facebook.com/watch/?v=844946130151604,04/26/2024
13,non-abusive (14),"মাঝখানে একটা পাতলা মাংশপিন্ডের মতো জায়গা আছে, তার নাম হল ডায়াফ্রাম । তো আমাদের যখন শ্বাসপ্রশ্বাস নেওয়ার দরকার হয় , তখন এইখানের যে পাতলা মাংশপিন্ড ডায়াফ্রাম",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (14).mp4,/kaggle/input/abusiveaud/audio/non-abusive (14).npy,"[1.0, 0.0]",9.43,Facebook,https://web.facebook.com/watch/?v=844946130151605,04/27/2024
14,non-abusive (15),আর শিনার মাংস এরা একসাথে হয়ে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (15).mp4,/kaggle/input/abusiveaud/audio/non-abusive (15).npy,"[1.0, 0.0]",3,Facebook,https://web.facebook.com/watch/?v=844946130151606,04/28/2024
15,non-abusive (16),নিচের একটা টান দেওয়ার মতো পরিস্থিতি তৈরি করে। মানে নেগেটিভ প্রেশার তৈরি করে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (16).mp4,/kaggle/input/abusiveaud/audio/non-abusive (16).npy,"[1.0, 0.0]",4.8,Facebook,https://web.facebook.com/watch/?v=844946130151607,04/29/2024
16,non-abusive (17),"সিম্পলি আপনি যখন নেহারি খান, নেহারি",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (17).mp4,/kaggle/input/abusiveaud/audio/non-abusive (17).npy,"[1.0, 0.0]",2.9,Facebook,https://web.facebook.com/watch/?v=844946130151608,04/30/2024
17,non-abusive (18),"খাওয়ার সময় কী করেন? ওইযে ভিতরের যে জিনিসটা , ঐটা খাওয়ার জন্য চোষন দেন না। ঠিক সেরকম ওরাও চোষন দেয় ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (18).mp4,/kaggle/input/abusiveaud/audio/non-abusive (18).npy,"[1.0, 0.0]",5.6,Facebook,https://web.facebook.com/watch/?v=844946130151609,05/01/2024
18,non-abusive (19),ফলে কি হয় ? ফুসফুসের ভিতরটা তো ফাপা। আর ফুসফুস থেকে বায়ুমন্ডলের যে পথ,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (19).mp4,/kaggle/input/abusiveaud/audio/non-abusive (19).npy,"[1.0, 0.0]",5.73,Facebook,https://web.facebook.com/watch/?v=844946130151610,05/02/2024
19,non-abusive (20),এই বরাবর এটাও যেহেতু খোলা বায়ুমন্ডল থেকে বাতাসটা ফুসফুসে চলে যায় ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (20).mp4,/kaggle/input/abusiveaud/audio/non-abusive (20).npy,"[1.0, 0.0]",4.77,Facebook,https://web.facebook.com/watch/?v=844946130151611,05/03/2024
20,non-abusive (21),এখন খুব সহজে বোঝা হবে এই লোহার ফুসফুস আসলে কিভাবে কাজ করে ?,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (21).mp4,/kaggle/input/abusiveaud/audio/non-abusive (21).npy,"[1.0, 0.0]",4,Facebook,https://web.facebook.com/watch/?v=844946130151612,05/04/2024
21,non-abusive (22),"এখানে পর্দার মতো যে একটা জিনিস দেখতে পাচ্ছেন , এইটার কাজ আমাদের শরীরের ডায়াফ্রাম যে",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (22).mp4,/kaggle/input/abusiveaud/audio/non-abusive (22).npy,"[1.0, 0.0]",5.53,Facebook,https://web.facebook.com/watch/?v=844946130151613,05/05/2024
22,non-abusive (23),কাজটা করে। ঠিক একই কাজ। এখানে যে লাঠির মতো যে জিনিসটা,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (23).mp4,/kaggle/input/abusiveaud/audio/non-abusive (23).npy,"[1.0, 0.0]",3.27,Facebook,https://web.facebook.com/watch/?v=844946130151614,05/06/2024
23,non-abusive (24),দেখতে পাচ্ছেন? ও এই পর্দাটাকে এইদিকে টেনে ধরে। ফলে কি হয়? ভেতরে একটা নেগেটিভ প্রেসার বা একটা,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (24).mp4,/kaggle/input/abusiveaud/audio/non-abusive (24).npy,"[1.0, 0.0]",7.7,Facebook,https://web.facebook.com/watch/?v=844946130151615,05/07/2024
24,non-abusive (25),"অবস্থা তৈরি হয় , আর যেহেতু তার নাক মুখ বায়ুমন্ডলে",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (25).mp4,/kaggle/input/abusiveaud/audio/non-abusive (25).npy,"[1.0, 0.0]",3.13,Facebook,https://web.facebook.com/watch/?v=844946130151616,05/08/2024
25,non-abusive (26),"খোলা খুব সহজেই বাতাস ফুসফুসে ঢুকে পড়তে পারে , আর যখন বাতাস ছেড়ে দেয়ার সময় হয় তখন কি ঘটে?",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (26).mp4,/kaggle/input/abusiveaud/audio/non-abusive (26).npy,"[1.0, 0.0]",6.33,Facebook,https://web.facebook.com/watch/?v=844946130151617,05/09/2024
26,non-abusive (27),যতখানি পর্দাকে বাম দিকে টেনে ধরেছিল। ফলে ভেতরে নেগেটিভ প্রেশার তৈরি হয়েছিল ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (27).mp4,/kaggle/input/abusiveaud/audio/non-abusive (27).npy,"[1.0, 0.0]",6.07,Facebook,https://web.facebook.com/watch/?v=844946130151618,05/10/2024
27,non-abusive (28),পর্দাটাকে ঠিক একইভাবে আগের জায়গায় ফেরত দিয়ে যার ফলে ভেতরে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (28).mp4,/kaggle/input/abusiveaud/audio/non-abusive (28).npy,"[1.0, 0.0]",3.87,Facebook,https://web.facebook.com/watch/?v=844946130151619,05/11/2024
28,non-abusive (29),কোনো নেগেটিভ প্রেশার থাকেনা। ফলে ফুসফুসের মধ্যে যতখানি বাতাস আটকা পড়েছিল ও আবার,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (29).mp4,/kaggle/input/abusiveaud/audio/non-abusive (29).npy,"[1.0, 0.0]",5.9,Facebook,https://web.facebook.com/watch/?v=844946130151620,05/12/2024
29,non-abusive (30),প্রচেষ্টা এইভাবে কন্ট থাকে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (30).mp4,/kaggle/input/abusiveaud/audio/non-abusive (30).npy,"[1.0, 0.0]",3.87,Facebook,https://web.facebook.com/watch/?v=844946130151621,05/13/2024
30,non-abusive (31),একবার পর্দাটাকে বাহিরের দিকে টেনে এনে ভেতরে নেগেটিভ প্রেশার,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (31).mp4,/kaggle/input/abusiveaud/audio/non-abusive (31).npy,"[1.0, 0.0]",3.07,Facebook,https://web.facebook.com/watch/?v=844946130151622,05/14/2024
31,non-abusive (32),তৈরি করা হয়। ফলে বাতাসটা রোগীর ফুসফুসের মধ্যে ঢুকে আবার সেই প্রেশার টা ছেড়ে দিয়ে বাতাসটাকে বাহিরে বের করে দেওয়া হয় ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (32).mp4,/kaggle/input/abusiveaud/audio/non-abusive (32).npy,"[1.0, 0.0]",6.53,Facebook,https://web.facebook.com/watch/?v=844946130151623,05/15/2024
32,non-abusive (33),ঠিক এইভাবে পোলিও আক্রান্ত রোগীদের ফুসফুসের কার্যক্রম চালু ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (33).mp4,/kaggle/input/abusiveaud/audio/non-abusive (33).npy,"[1.0, 0.0]",3.53,Facebook,https://web.facebook.com/watch/?v=844946130151624,05/16/2024
33,non-abusive (34),"রাখা হতো এবং এভাবেই অনেক মানুষের জীবনও বাচানো সম্ভব হয়েছিল। , আপনারা অনেকেই পল আলেকজান্ডার এর বিভিন্ন ভিডিও দেখেছেন। ওর জীবনের একটা মজার গল্প আছে। সেটা হচ্ছে",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (34).mp4,/kaggle/input/abusiveaud/audio/non-abusive (34).npy,"[1.0, 0.0]",9.93,Facebook,https://web.facebook.com/watch/?v=844946130151625,05/17/2024
34,non-abusive (35),ও যখন অনেক ছোট ছিল তখনই তার পোলিও হয় এবং সেই সময় থেকেই সে এই আয়রন লাং এর ভেতরে বসবাস করা।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (35).mp4,/kaggle/input/abusiveaud/audio/non-abusive (35).npy,"[1.0, 0.0]",6.5,Facebook,https://web.facebook.com/watch/?v=844946130151626,05/18/2024
35,non-abusive (36),শুরু করে। কারণ সে এইটার বাইরে নিজে নিজে শ্বাস প্রশ্বাস নিতে পারত না। তবুও ডাক্তার,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (36).mp4,/kaggle/input/abusiveaud/audio/non-abusive (36).npy,"[1.0, 0.0]",5.27,Facebook,https://web.facebook.com/watch/?v=844946130151627,05/19/2024
36,non-abusive (37),যেটা চাইল যে পল যেন কিছুটা সময়ের জন্য হলেও,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (37).mp4,/kaggle/input/abusiveaud/audio/non-abusive (37).npy,"[1.0, 0.0]",3.1,Facebook,https://web.facebook.com/watch/?v=844946130151628,05/20/2024
37,non-abusive (38),এই আয়রন লাং থেকে নিজেকে,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (38).mp4,/kaggle/input/abusiveaud/audio/non-abusive (38).npy,"[1.0, 0.0]",1.53,Facebook,https://web.facebook.com/watch/?v=844946130151629,05/21/2024
38,non-abusive (39),মুক্ত করতে পারে। ও যেন নিজেকে ধীরে ধীরে ট্রেন করে যেন কিছুটা সময়ের জন্য প্রতিদিনই ও আয়রন লাং এর বাইরে বেরোতে পারে। তো এইটার,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (39).mp4,/kaggle/input/abusiveaud/audio/non-abusive (39).npy,"[1.0, 0.0]",8.07,Facebook,https://web.facebook.com/watch/?v=844946130151630,05/22/2024
39,non-abusive (40),"সে পল কে একটা চ্যালেঞ্জ দিলেন , কি চ্যালেঞ্জ ?",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (40).mp4,/kaggle/input/abusiveaud/audio/non-abusive (40).npy,"[1.0, 0.0]",3.03,Facebook,https://web.facebook.com/watch/?v=844946130151631,05/23/2024
40,non-abusive (41),"পল যদি আয়রন লাং এর বাইরে তিন মিনিট অবস্থান করতে পারে , তাহলে তাকে একটা অনেক সুন্দর উপহার দেওয়া হবে। উপহারটা হচ্ছে ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (41).mp4,/kaggle/input/abusiveaud/audio/non-abusive (41).npy,"[1.0, 0.0]",5.63,Facebook,https://web.facebook.com/watch/?v=844946130151632,05/24/2024
41,non-abusive (42),"একটা ছোট পাপি দেয়া হবে , মানে কুকুরের বাচ্চা দেয়া হবে ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (42).mp4,/kaggle/input/abusiveaud/audio/non-abusive (42).npy,"[1.0, 0.0]",3.13,Facebook,https://web.facebook.com/watch/?v=844946130151633,05/25/2024
42,non-abusive (43),"কুকুরের বাচ্চা এজ এ উপহার এটা আসলে খুবই এপ্রিশিয়েটেড , বিশেষ করে এই সব দেশে আর বিশেষ করে যারা একটু লোনলি থাকেন।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (43).mp4,/kaggle/input/abusiveaud/audio/non-abusive (43).npy,"[1.0, 0.0]",7,Facebook,https://web.facebook.com/watch/?v=844946130151634,05/26/2024
43,non-abusive (44),তো পল এই চ্যালেঞ্জ নিল। পল প্রত্যেক দিন একটু একটু করে ওই আয়রন,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (44).mp4,/kaggle/input/abusiveaud/audio/non-abusive (44).npy,"[1.0, 0.0]",5.4,Facebook,https://web.facebook.com/watch/?v=844946130151635,05/27/2024
44,non-abusive (45),লাং এর বাইরে থাকার চেষ্টা করতে শুরু করল তো পল। যখন আয়রন লাং এর বাইরে থাকবে তখনো শ্বাস প্রশ্বাস চলবে কিভাবে? ?,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (45).mp4,/kaggle/input/abusiveaud/audio/non-abusive (45).npy,"[1.0, 0.0]",6.83,Facebook,https://web.facebook.com/watch/?v=844946130151636,05/28/2024
45,non-abusive (46),"ফ্রগ ব্রিদিং নামে একটা টার্ম আছে , পলের যেহেতু নিচের অংশ কাজ করে না, মানে ওর ডায়াফ্রাম কাজ করে না, ভেতর থেকে টান দেয়ার মতো কেউ নাই।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (46).mp4,/kaggle/input/abusiveaud/audio/non-abusive (46).npy,"[1.0, 0.0]",7,Facebook,https://web.facebook.com/watch/?v=844946130151637,05/29/2024
46,non-abusive (47),ফ্রগ ব্রিদিং টা হচ্ছে মুখের মধ্যে বাতাস নিয়ে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (47).mp4,/kaggle/input/abusiveaud/audio/non-abusive (47).npy,"[1.0, 0.0]",3.83,Facebook,https://web.facebook.com/watch/?v=844946130151638,05/30/2024
47,non-abusive (48),মুখ এবং জিহবার সাহায্যে ফুসফুসের দিকে ধাক্কা দেয়া,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (48).mp4,/kaggle/input/abusiveaud/audio/non-abusive (48).npy,"[1.0, 0.0]",3.17,Facebook,https://web.facebook.com/watch/?v=844946130151639,05/31/2024
48,non-abusive (49),তো এইটার নামই হচ্ছে ফ্রগ ব্রিদিং। মানে বাতাসটাকে অনেকটা গিলে ফেলার মতো। মুখে নিয়ে গিলে ফেলার মতো যেন এটা ফুসফুসের দিকে যায় ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (49).mp4,/kaggle/input/abusiveaud/audio/non-abusive (49).npy,"[1.0, 0.0]",7,Facebook,https://web.facebook.com/watch/?v=844946130151640,06/01/2024
49,non-abusive (50),তো এইটা আমি যখন পড়ছিলাম তখন আমার এক বন্ধুর কথা মনে পড়ে। ও যখন নতুন নতুন ধূমপান পান করত তখন আসলে,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (50).mp4,/kaggle/input/abusiveaud/audio/non-abusive (50).npy,"[1.0, 0.0]",5.97,Facebook,https://web.facebook.com/watch/?v=844946130151641,06/02/2024
50,non-abusive (51),ধুমপান করতে পারত না। কিন্তু ওইযে শোঅফ করতে হবে অনেকটা সেজন্য হল। সে সিগারেটের ধোয়া মুখে নিয়ে,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (51).mp4,/kaggle/input/abusiveaud/audio/non-abusive (51).npy,"[1.0, 0.0]",5.93,Facebook,https://web.facebook.com/watch/?v=844946130151642,06/03/2024
51,non-abusive (52),"গিলে ফেলত , ও যে গিলে ফেলত এটা বুঝা যেত কীভাবে? ?",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (52).mp4,/kaggle/input/abusiveaud/audio/non-abusive (52).npy,"[1.0, 0.0]",3.77,Facebook,https://web.facebook.com/watch/?v=844946130151643,06/04/2024
52,non-abusive (53),"আমাদের সবার এখানে একটা হাড় আছে না? , এটা হচ্ছে পুরুষদের সাধারনত দেখা যায় এখানে। তো এইটা",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (53).mp4,/kaggle/input/abusiveaud/audio/non-abusive (53).npy,"[1.0, 0.0]",5.97,Facebook,https://web.facebook.com/watch/?v=844946130151644,06/05/2024
53,non-abusive (54),হলো আমাদের ট্রাকিয়াতে এটা হচ্ছে কার্টিলেজ। এটা আসলে হাড় না। মানে এটা যদি খাওয়া হয় তাহলে কচকচ,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (54).mp4,/kaggle/input/abusiveaud/audio/non-abusive (54).npy,"[1.0, 0.0]",6.53,Facebook,https://web.facebook.com/watch/?v=844946130151645,06/06/2024
54,non-abusive (55),"সাউন্ড করবে তো এইটা যখন আপনি গিলবেন, কোনো কিছু দেখা যায়, এটা একবার ওপরে যায়, একবার নিচে যাচ্ছে ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (55).mp4,/kaggle/input/abusiveaud/audio/non-abusive (55).npy,"[1.0, 0.0]",6.27,Facebook,https://web.facebook.com/watch/?v=844946130151646,06/07/2024
55,non-abusive (56),ও যখন ধূমপান করার চেষ্টা করত তখনও এই কার্টিলেজ টাও উপরের দিকে যেত একবার নিচের দিকে যেত একবার তো সেখান,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (56).mp4,/kaggle/input/abusiveaud/audio/non-abusive (56).npy,"[1.0, 0.0]",5.73,Facebook,https://web.facebook.com/watch/?v=844946130151647,06/08/2024
56,non-abusive (57),থেকে আসলে বোঝা যেত সে আসনে গিলে ফেলছে। তো এইযে,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (57).mp4,/kaggle/input/abusiveaud/audio/non-abusive (57).npy,"[1.0, 0.0]",3.6,Facebook,https://web.facebook.com/watch/?v=844946130151648,06/09/2024
57,non-abusive (58),গিলে খেলার ব্যাপারটা এইটাই হচ্ছে ফ্রগ ব্রিদিং ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (58).mp4,/kaggle/input/abusiveaud/audio/non-abusive (58).npy,"[1.0, 0.0]",2.63,Facebook,https://web.facebook.com/watch/?v=844946130151649,06/10/2024
58,non-abusive (59),তো পল আলেকজান্ডার,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (59).mp4,/kaggle/input/abusiveaud/audio/non-abusive (59).npy,"[1.0, 0.0]",1.47,Facebook,https://web.facebook.com/watch/?v=844946130151650,06/11/2024
59,non-abusive (60),"এই কাজটা প্র্যাকটিস করতে থাকে , পলের ক্ষেত্রে হচ্ছে কি? এইভাবে তার শ্বাস প্রশ্বাস চালিয়ে নিতে হবে।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (60).mp4,/kaggle/input/abusiveaud/audio/non-abusive (60).npy,"[1.0, 0.0]",5.63,Facebook,https://web.facebook.com/watch/?v=844946130151651,06/12/2024
60,non-abusive (61),"মানে যত সহজ শুনতে মনে হচ্ছে , কাজটা কিন্তু এত সহজ না। অনেক কঠিন একটা কাজ ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (61).mp4,/kaggle/input/abusiveaud/audio/non-abusive (61).npy,"[1.0, 0.0]",5,Facebook,https://web.facebook.com/watch/?v=844946130151652,06/13/2024
61,non-abusive (62),"পল চেষ্টা করতে থাকে , ওর প্রায় এক বছর সময় লাগে। তিন মিনিট।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (62).mp4,/kaggle/input/abusiveaud/audio/non-abusive (62).npy,"[1.0, 0.0]",5.17,Facebook,https://web.facebook.com/watch/?v=844946130151653,06/14/2024
62,non-abusive (63),এইভাবে শ্বাস প্রশ্বাস চালিয়ে নেয়া শিখতে কিন্তু সে ফাইনালি পারে এবং সে ঐ কুকুরের বাচ্চা গিফট পায় ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (63).mp4,/kaggle/input/abusiveaud/audio/non-abusive (63).npy,"[1.0, 0.0]",6.37,Facebook,https://web.facebook.com/watch/?v=844946130151654,06/15/2024
63,non-abusive (64),এবং সে ওই বাচ্চাটার নাম রাখে হল জিনজার। মানে এটাকে যদি বাংলা অনুবাদ করেন সেটার নাম হবে আদা ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (64).mp4,/kaggle/input/abusiveaud/audio/non-abusive (64).npy,"[1.0, 0.0]",6.17,Facebook,https://web.facebook.com/watch/?v=844946130151655,06/16/2024
64,non-abusive (65),"তো এই ঘটনার মধ্য দিয়ে পল শুধু জিনজার কেই পেল না, তার জীবনের নতুন আশার আলো তৈরি হল। সে যেহেতু চেষ্টা করে ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (65).mp4,/kaggle/input/abusiveaud/audio/non-abusive (65).npy,"[1.0, 0.0]",7,Facebook,https://web.facebook.com/watch/?v=844946130151656,06/17/2024
65,non-abusive (66),পেরেছে তিন মিনিট ওই আয়রন লাং এর বাইরে থাকতে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (66).mp4,/kaggle/input/abusiveaud/audio/non-abusive (66).npy,"[1.0, 0.0]",3.5,Facebook,https://web.facebook.com/watch/?v=844946130151657,06/18/2024
66,non-abusive (67),"সে কন্টিনিউয়াসলি চেষ্টা করে গেল যে আরও বেশি সময় কি আইয়রন লাং বাইরে থাকা যায় কিনা , এর পরে পলের জিবনে",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (67).mp4,/kaggle/input/abusiveaud/audio/non-abusive (67).npy,"[1.0, 0.0]",5.33,Facebook,https://web.facebook.com/watch/?v=844946130151658,06/19/2024
67,non-abusive (68),"জীবনে আরও অনেক ঘটনা ঘটে , তিনি একুশ বছর বয়সে ডালাস হাইস্কুল থেকে গ্রাজুয়েট হন। যদিও তিনি ফিজিক্যালি ক্লাস",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (68).mp4,/kaggle/input/abusiveaud/audio/non-abusive (68).npy,"[1.0, 0.0]",6.07,Facebook,https://web.facebook.com/watch/?v=844946130151659,06/20/2024
68,non-abusive (69),প্রথম ব্যক্তি যে ফিজিক্যালি ক্লাস না করেও ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (69).mp4,/kaggle/input/abusiveaud/audio/non-abusive (69).npy,"[1.0, 0.0]",3.07,Facebook,https://web.facebook.com/watch/?v=844946130151660,06/21/2024
69,non-abusive (70),ডালাস হাই স্কুল থেকে গ্রাজুয়েট হন ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (70).mp4,/kaggle/input/abusiveaud/audio/non-abusive (70).npy,"[1.0, 0.0]",2.1,Facebook,https://web.facebook.com/watch/?v=844946130151661,06/22/2024
70,non-abusive (71),এর পরে তিনি আইন বিষয়ে পড়াশোনা করেন এবং প্রায় কয়েক দশক একজন লয়ার হিসেবে তিনি তার প্রফেশনাল জীবন কাটান ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (71).mp4,/kaggle/input/abusiveaud/audio/non-abusive (71).npy,"[1.0, 0.0]",6.57,Facebook,https://web.facebook.com/watch/?v=844946130151662,06/23/2024
71,non-abusive (72),তো এই আয়রন লাং এর ব্যবহার এখন একেবারেই নেই। আর এটারর ব্যবহার আসলে অনেক আগে থেকেই কমে।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (72).mp4,/kaggle/input/abusiveaud/audio/non-abusive (72).npy,"[1.0, 0.0]",4.33,Facebook,https://web.facebook.com/watch/?v=844946130151663,06/24/2024
